road_id,status,roadmst_id,roadmst_name,directional_tendency,road_name_type,road_class,road_type,one_way_dir,high_address,low_address,address_range,odd_side,from_roadint_id,to_roadint_id,truck_route,snow_removal,from_roadint_name,to_roadint_name,OBJECTID,land_use,transit_class,implementation_class,SHAPESTLength
164107,A,104063,GORDON DR,NS,DR,Major Arterial,ROAD,0,5080,5000,5000 - 5080,R,624646,622426,1,1,CLARANCE AVE,FROST RD,34382,Suburban,,,568.8720289
167369,A,112211,AIRPORT WAY,NS,WAY,Minor Arterial,PRIVATE,,5849,5551,5551 - 5849,R,622907,625423,,3,AEROSPACE DR,LAPOINTE DR,34784,Suburban,Frequent,,730.0999157
167357,A,116311,LAPOINTE DR,NS,DR,Local,PRIVATE,0,6320,6100,6100 - 6320,R,999992,625435,,3,SOUTH END OF ROAD,AIRPORT WAY,34785,Industrial,,,232.6990719
167344,A,116311,LAPOINTE DR,NS,DR,Local,PRIVATE,0,5950,5800,5800 - 5950,R,625423,999993,,3,AIRPORT WAY,NORTH END OF ROAD,34787,Industrial,,,238.443332
167383,A,112211,AIRPORT WAY,NS,WAY,Minor Arterial,PRIVATE,,6425,6300,6300 - 6425,R,625435,622933,,3,LAPOINTE DR,OLD VERNON RD,34789,Suburban,Frequent,,343.6609465
167419,A,104923,HUBBARD RD,EW,RD,Local,ROAD,,875,831,831 - 875,R,625447,617806,,3,HUBBARD CT,FREDERICK RD,35584,Suburban,,,92.62049201
167421,A,116323,HUBBARD CT,NS,CT,Local,ROAD,0,4665,4625,4625 - 4665,R,999992,625447,,3,SOUTH END OF ROAD,HUBBARD RD,35585,Suburban,,,58.4181301
168474,A,116335,MCKINLEY BEACH LANE,NS,LANE,Strata,PRIVATE,,3400,3350,3350 - 3400,R,625854,999993,,3,ARROWROOT DR,NORTH END OF ROAD,35589,,,,366.4641207
167472,A,115776,MCKINLEY BEACH DR,NS,DR,Collector,ROAD,,3399,3380,3380 - 3399,R,625450,624976,,2,MCKINLEY BEACH LANE,GRANITE CLOSE,35590,Hillside,,,62.09283404
167662,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9375,9325,9325 - 9375,R,625474,625486,,3,11TH AVE,9TH AVE,35989,,,,73.75229049
167674,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9425,9376,9376 - 9425,R,625486,625498,,3,9TH AVE,8TH AVE,35991,,,,72.22292527
167686,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9430,9426,9426 - 9430,R,625498,625500,,3,8TH AVE,7TH AVE,35992,,,,10.21743887
167698,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9475,9431,9431 - 9475,R,625500,625512,,3,7TH AVE,6TH AVE,35993,,,,60.74806757
167700,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9480,9476,9476 - 9480,R,625512,625524,,3,6TH AVE,5TH AVE,35994,,,,13.64635462
167712,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9525,9481,9481 - 9525,R,625524,625536,,3,5TH AVE,3RD AVE,35995,,,,56.6526866
167724,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9530,9526,9526 - 9530,R,625536,625551,,3,3RD AVE,4TH AVE,35996,,,,23.55297122
167736,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9540,9531,9531 - 9540,R,625551,625548,,3,4TH AVE,3RD AVE,35997,,,,25.07069026
167748,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9575,9541,9541 - 9575,R,625548,625563,,3,3RD AVE,2ND AVE,35998,,,,45.21781794
167751,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9580,9576,9576 - 9580,R,625563,625575,,3,2ND AVE,1ST AVE,35999,,,,10.62247826
167763,A,116347,STONE RIDGE DR,NS,DR,Strata,PRIVATE,0,9610,9581,9581 - 9610,R,625575,625462,,3,1ST AVE,BEAVER LAKE RD,36000,,,,59.23026045
